Anahtar kelime,Arama niyeti,Konum,Hedef sayfa,Birincil/ikincil,Tahmini hacim,Rekabet,Kaynak,Araştırma tarihi,Not
"Darende reklam ajansı","Ticari","Darende","/","Birincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende Ajans","Marka","Darende","/","Birincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende dijital ajans","Ticari","Darende","/hakkimizda/","Birincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende dijital hizmetler","Ticari","Darende","/hizmetler/","Birincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende web tasarım","Ticari","Darende","/darende-web-tasarim/","Birincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende web sitesi yapan firma","Ticari","Darende","/darende-web-tasarim/","İkincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Malatya web tasarım","Ticari","Malatya","/darende-web-tasarim/","İkincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende e-ticaret sitesi","Ticari","Darende","/darende-e-ticaret/","Birincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Malatya e-ticaret","Ticari","Malatya","/darende-e-ticaret/","İkincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende SEO","Ticari","Darende","/darende-seo/","Birincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende Google sıralama","Ticari","Darende","/darende-seo/","İkincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Malatya SEO firması","Ticari","Malatya","/darende-seo/","İkincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende Google reklamları","Ticari","Darende","/darende-google-ads/","Birincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende Google Ads","Ticari","Darende","/darende-google-ads/","İkincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende sosyal medya yönetimi","Ticari","Darende","/darende-sosyal-medya-yonetimi/","Birincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende Instagram yönetimi","Ticari","Darende","/darende-sosyal-medya-yonetimi/","İkincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende Google Harita kaydı","Ticari","Darende","/darende-google-harita-yonetimi/","Birincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende Google konum yönetimi","Ticari","Darende","/darende-google-harita-yonetimi/","İkincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende 360 sanal tur","Ticari","Darende","/darende-360-sanal-tur/","Birincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"işletme sanal tur çekimi","Ticari","Türkiye","/darende-360-sanal-tur/","İkincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende drone çekimi","Ticari","Darende","/darende-drone-cekimi/","Birincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende tanıtım filmi","Ticari","Darende","/darende-drone-cekimi/","İkincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
"Darende logo tasarımı","Ticari","Darende","/darende-kurumsal-kimlik/","Birincil","doğrulanamadı","doğrulanamadı","Kullanıcı hedefleri + güncel SERP rakip gözlemi","2026-07-30","Ücretli araç/Search Console verisi sağlanmadı; hacim uydurulmadı."
